HTS Code,Material,Classification,Chapter,Chapter Description,Declaration Required,Notes
3214.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3303.00.10,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3303.00.20,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3303.00.30,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3304.30.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3304.99.50,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3305.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3305.30.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3305.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3306.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3307.10.10,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3307.10.20,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3307.20.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3307.49.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3307.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3401.30.10,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3401.30.50,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.31.90,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.49.90,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.50.11,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.50.51,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.90.10,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.90.30,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3402.90.50,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3403.19.10,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3403.19.50,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3403.99.00,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3405.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3405.20.00,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3405.40.00,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3405.90.00,Aluminum,Derivative Aluminum Article (Other Chapters),34,"Chapter 34: Soap, organic surface-active agents, washing preparations, lubricating preparations",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3506.10.50,Aluminum,Derivative Aluminum Article (Other Chapters),35,Chapter 35: Albuminoidal substances; modified starches; glues; enzymes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3506.91.10,Aluminum,Derivative Aluminum Article (Other Chapters),35,Chapter 35: Albuminoidal substances; modified starches; glues; enzymes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3506.91.50,Aluminum,Derivative Aluminum Article (Other Chapters),35,Chapter 35: Albuminoidal substances; modified starches; glues; enzymes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3506.99.00,Aluminum,Derivative Aluminum Article (Other Chapters),35,Chapter 35: Albuminoidal substances; modified starches; glues; enzymes,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3701.30.0000,Aluminum,Derivative Aluminum Article (Other Chapters),37,Chapter 37: Photographic or cinematographic goods,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.59.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.59.40,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.61.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.61.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.62.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.62.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.69.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.69.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.91.15,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.91.25,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.91.30,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.91.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.94.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3808.94.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3809.91.00,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3810.10.00,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3811.19.00,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3811.21.00,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3814.00.10,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3814.00.20,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3814.00.50,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3820.00.00,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
3824.99.9397,Aluminum,Derivative Aluminum Article (Other Chapters),38,Chapter 38: Miscellaneous chemical products,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
6603.90.8100,Aluminum,Derivative Aluminum Article (Other Chapters),66,"Chapter 66: Umbrellas, walking-sticks, seat-sticks, whips, riding-crops",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7308.20.0035,Aluminum,Derivative Aluminum Article (Other Chapters),73,Chapter 73: Articles of Iron or Steel,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7610.10.00,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7610.90.00,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7612.10.0000,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7612.90.10,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7612.90.5000,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7613.00.0000,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7614.10.10,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7614.10.50,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7614.90.20,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7614.90.40,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7614.90.50,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.2015,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.2025,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.3015,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.3025,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.5020,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.5040,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.7125,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.7130,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.7155,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.7180,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.10.9100,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7615.20.0000,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.10.9090,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.99.1000,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.99.51,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.99.5130,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.99.5140,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7616.99.5190,Aluminum,Derivative Aluminum Article,76,Chapter 76: Aluminum and articles thereof,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.10.3000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.10.6030,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.10.6060,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.10.6090,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.20.0000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.30.3010,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.30.3060,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.41.3000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.41.6015,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.41.6045,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.41.6050,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.41.6080,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.42.3010,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.42.3015,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.42.3065,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.49.6035,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.49.6045,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.49.6055,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.49.6085,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.50.0000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.60.3000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8302.60.9000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8305.10.0050,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8306.30.0000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8307.90.6000,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8309.90.0020,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8309.90.0025,Aluminum,Derivative Aluminum Article (Other Chapters),83,Chapter 83: Miscellaneous articles of base metal,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8412.90.9070,Aluminum,Derivative Aluminum Article (Other Chapters),84,"Chapter 84: Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
8412.90.9075,Aluminum,Derivative Aluminum Article (Other Chapters),84,"Chapter 84: Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
